tau,TAMSD_free
0.05,0.012188169323329522
0.1,0.027874167810324823
0.15000000000000002,0.047443501339664206
0.2,0.07067240518282435
0.25,0.09766116189023213
0.30000000000000004,0.1284826809201188
0.35000000000000003,0.16262320640466635
0.4,0.20044112607307862
0.45,0.24151680399436376
0.5,0.28594438932221816
0.55,0.33340549357585486
0.6000000000000001,0.384212936269553
0.65,0.43784084073793716
0.7000000000000001,0.4946159465508171
0.75,0.5540820307296015
0.8,0.616536057347278
0.8500000000000001,0.6812727565821788
0.9,0.7487970114564055
0.9500000000000001,0.8190151097544311
1.0,0.8918620103388688
1.05,0.9673824093491108
1.1,1.0452847828577658
1.1500000000000001,1.125555892530438
1.2000000000000002,1.2087740336578705
1.25,1.294382518239291
1.3,1.3824037891110434
1.35,1.4724048975910673
1.4000000000000001,1.5643919571353742
1.4500000000000002,1.658431514910958
1.5,1.754714232137465
1.55,1.8531817034246443
1.6,1.953484271643065
1.6500000000000001,2.0557265321831757
1.7000000000000002,2.1600759592604546
1.75,2.2662164519541705
1.8,2.3743958430709626
1.85,2.4843647336359016
1.9000000000000001,2.596227521388636
1.9500000000000002,2.709876041111377
2.0,2.8254400571044327
2.0500000000000003,2.942594964422105
2.1,3.0613107447986954
2.15,3.1813962105722218
2.2,3.3031736277720296
2.25,3.4265229834152544
2.3000000000000003,3.5511267260004713
2.35,3.6771137867528108
2.4000000000000004,3.8044895132728205
2.45,3.933928887738181
2.5,4.065198454872328
2.5500000000000003,4.1981007499092335
2.6,4.332710286208271
2.6500000000000004,4.468533866529145
2.7,4.606068076642508
2.75,4.745183852806545
2.8000000000000003,4.8856108077227685
2.85,5.0272682290439645
2.9000000000000004,5.170186844498428
2.95,5.314735928172603
3.0,5.460310252683577
3.0500000000000003,5.60681277050446
3.1,5.754825408916181
3.1500000000000004,5.903719448155373
3.2,6.053505271992628
3.25,6.2045332035585945
3.3000000000000003,6.35671321174821
3.35,6.510552592046055
3.4000000000000004,6.664952365278748
3.45,6.81991951452861
3.5,6.975761537046407
3.5500000000000003,7.1323868068876335
3.6,7.290495392154779
3.6500000000000004,7.449438586261545
3.7,7.609072332627512
3.75,7.770039231780896
3.8000000000000003,7.931761804942506
3.85,8.094247629971838
3.9000000000000004,8.25699612446636
3.95,8.420528702334442
4.0,8.58495283957859
4.05,8.750402407618035
4.1000000000000005,8.916083006735178
4.15,9.082495019949825
