tau,TAMSD_with_walls
0.05,0.012242620162502632
0.1,0.028210982687835534
0.15000000000000002,0.048250656670960526
0.2,0.07209769824244397
0.25,0.09976794116171789
0.30000000000000004,0.13141017785311396
0.35000000000000003,0.16637237551907302
0.4,0.20503614625632294
0.45,0.24692567347222585
0.5,0.2921368877366999
0.55,0.34036746328758966
0.6000000000000001,0.39190612465221775
0.65,0.4461674112554858
0.7000000000000001,0.5035976728298547
0.75,0.5635922084932146
0.8,0.6265249833496632
0.8500000000000001,0.6916151291556186
0.9,0.7593170598921344
0.9500000000000001,0.8296332632633266
1.0,0.9024089500247802
1.05,0.977546723145409
1.1,1.0546672589966388
1.1500000000000001,1.1338295181585496
1.2000000000000002,1.2154814018945022
1.25,1.2990073915069063
1.3,1.3844956862680042
1.35,1.4715288969188762
1.4000000000000001,1.560085808338457
1.4500000000000002,1.650102974135557
1.5,1.7418438817429918
1.55,1.8353473130417575
1.6,1.9300904683594453
1.6500000000000001,2.026235648341889
1.7000000000000002,2.123957517882849
1.75,2.22302342270108
1.8,2.323670197971153
1.85,2.425654439376799
1.9000000000000001,2.5289190605363325
1.9500000000000002,2.6333925876048303
2.0,2.7392670799926346
2.0500000000000003,2.8462658493885846
2.1,2.9542789243750858
2.15,3.0633463560089225
2.2,3.173641174910029
2.25,3.2851377868038156
2.3000000000000003,3.3974649810594473
2.35,3.510776041605875
2.4000000000000004,3.6250683701387767
2.45,3.7407776316175716
2.5,3.8577431621578717
2.5500000000000003,3.975828814157127
2.6,4.095013679323371
2.6500000000000004,4.214873419122215
2.7,4.336021995146015
2.75,4.458154143394133
2.8000000000000003,4.58114128930475
2.85,4.704738965309329
2.9000000000000004,4.829063247880109
2.95,4.954268350340866
3.0,5.080026809635906
3.0500000000000003,5.206096079726933
3.1,5.333067729910181
3.1500000000000004,5.460494277228235
3.2,5.588400813801193
3.25,5.717013420659556
3.3000000000000003,5.846205474576288
3.35,5.976306173461529
3.4000000000000004,6.1066069116060575
3.45,6.237016774134497
3.5,6.3677567415406235
3.5500000000000003,6.498796709269196
3.6,6.630803408482427
3.6500000000000004,6.763186654481402
3.7,6.895844365674423
3.75,7.029346723177699
3.8000000000000003,7.163023836509882
3.85,7.296889007251171
3.9000000000000004,7.4306898026735615
3.95,7.5648683297417785
4.0,7.699345190877863
4.05,7.834250908832213
4.1000000000000005,7.96890370385321
4.15,8.10395042536902
4.2,8.238669381477584
4.25,8.373088272938086
4.3,8.507778594126544
4.3500000000000005,8.642215953527696
4.4,8.776934109201708
4.45,8.911985660426861
4.5,9.047145618777384
4.55,9.181987337132584
4.6000000000000005,9.317299019271408
4.65,9.452898479688594
4.7,9.588595721850297
4.75,9.724191834242255
4.800000000000001,9.86000724070425
4.8500000000000005,9.995917049518559
4.9,10.131911429627225
4.95,10.268122406420213
5.0,10.404133074279608
5.050000000000001,10.539418802762007
5.1000000000000005,10.674521520457985
5.15,10.809308904362535
5.2,10.943837315453354
5.25,11.078517047691644
