lag_time,time_origin_averaged_MSD
0.003,0.00014805402934799653
0.006,0.0003379356062989881
0.009000000000000001,0.0005776576477963983
0.012,0.0008631765102710283
0.015,0.0011931128315237369
0.018000000000000002,0.0015643902073080747
0.021,0.0019752471705836894
0.024,0.0024222500989365394
0.027,0.002905092578084095
0.03,0.003420372899204537
0.033,0.003967691198139599
0.036000000000000004,0.004543693809012856
0.039,0.005147645211759358
0.042,0.005778112840355264
0.045,0.006433920520185483
0.048,0.007114922054263656
0.051000000000000004,0.007819258640242575
0.054,0.008546826722643886
0.057,0.009296421717435619
0.06,0.010066832263063416
0.063,0.010858278149400954
0.066,0.011669157831431897
0.069,0.01249926210412393
0.07200000000000001,0.01334833311118344
0.075,0.014215127318039639
0.078,0.01510026314676638
0.081,0.016002758113721993
0.084,0.016922963117132726
0.08700000000000001,0.01785862260388544
0.09,0.01881108442428854
0.093,0.019779752312573128
0.096,0.02076331023820635
0.099,0.021763150006350665
0.10200000000000001,0.022779341065507164
0.105,0.023810156578819658
0.108,0.02485575871415636
0.111,0.025916933480573442
0.114,0.0269916966595221
0.117,0.028079670181977195
0.12,0.029181717626802477
0.123,0.03029745113416686
0.126,0.03142682321235209
0.129,0.032569173394424174
0.132,0.03372322809278112
0.135,0.03488978223405507
0.138,0.036070089162973995
0.14100000000000001,0.037263809972774516
0.14400000000000002,0.03846951948179819
0.147,0.03968641664433081
0.15,0.040915362232844255
0.153,0.042156092008283956
0.156,0.04340743019858149
0.159,0.044671275454135864
0.162,0.045946619205870266
0.165,0.047233210524356944
0.168,0.04853134910122783
0.171,0.04984007035903245
0.17400000000000002,0.05116015330299937
0.177,0.052491884945818586
0.18,0.05383381143416146
0.183,0.05518692142471512
0.186,0.056551743478378866
0.189,0.05792818855436478
0.192,0.05931532485851519
0.195,0.06071367815050728
0.198,0.062122405093062445
0.201,0.06354188467287597
0.20400000000000001,0.0649732471426734
0.20700000000000002,0.06641621450686186
0.21,0.06786944806357204
0.213,0.06933482621330485
0.216,0.07081107228304415
0.219,0.07229777348532339
0.222,0.07379500264493823
0.225,0.07530314071161434
0.228,0.07682119153312914
0.231,0.07834879580386252
0.234,0.07988740114062767
0.23700000000000002,0.08143514819898015
0.24,0.0829939697633827
0.243,0.08456357480438727
0.246,0.08614330531448974
0.249,0.08773304146553389
0.252,0.08933313584240861
0.255,0.09094396932478988
0.258,0.09256383688707535
0.261,0.09419244887130884
0.264,0.09583080468130514
0.267,0.09747955245467543
0.27,0.09913831923183673
0.273,0.10080669005939906
0.276,0.1024842007925176
0.279,0.10417196015677455
0.28200000000000003,0.10586816514590018
0.28500000000000003,0.10757299076236704
0.28800000000000003,0.10928748332234077
0.291,0.11100974586396542
0.294,0.1127412767892886
0.297,0.11448293674698581
0.3,0.11623306313426136
0.303,0.11799122832803767
0.306,0.11975850426427549
0.309,0.1215346506868124
0.312,0.12331921615194788
0.315,0.12511137462276062
0.318,0.12691187779755192
0.321,0.12872104830117131
0.324,0.13054007741676726
0.327,0.13236766911741918
0.33,0.13420228172982204
0.333,0.1360467156417811
0.336,0.13789876535467416
0.339,0.1397591980072103
0.342,0.14162956246021427
0.34500000000000003,0.1435091766178708
0.34800000000000003,0.14539915043712756
0.35100000000000003,0.14729852638531238
0.354,0.1492067440347073
0.357,0.1511236388487436
0.36,0.15305097089679487
0.363,0.15498827961708267
0.366,0.15693517477416874
0.369,0.15889067991779038
0.372,0.1608544346485054
0.375,0.1628267053343398
0.378,0.1648080806994603
0.381,0.16679794145725782
0.384,0.16879660417805203
0.387,0.17080336326693304
0.39,0.17281964567516295
0.393,0.1748447976687688
0.396,0.17687951348242026
0.399,0.17892411630025737
0.402,0.18097752190078764
0.405,0.18303999929987788
0.40800000000000003,0.1851106999927899
0.41100000000000003,0.18719113173258284
0.41400000000000003,0.18928024467770083
0.417,0.1913781148497473
0.42,0.19348450953318355
0.423,0.19559977193852818
0.426,0.1977227512005091
0.429,0.19985669268213185
0.432,0.20199982102009295
0.435,0.20415232766654537
0.438,0.2063135754196834
0.441,0.20848358675990158
0.444,0.21066110560127718
0.447,0.21284774127565537
0.45,0.2150437184527791
0.453,0.2172478658196823
0.456,0.21946190471167765
0.459,0.22168473040338402
0.462,0.22391728981661432
0.465,0.22616012506897493
0.468,0.2284120373222012
0.47100000000000003,0.230670580008014
0.47400000000000003,0.23293771649398626
0.47700000000000004,0.23521415670736612
0.48,0.23749886873927026
0.483,0.23979153868179962
0.486,0.24209088573246207
0.489,0.2443978850567914
0.492,0.24671371879608503
0.495,0.24903842456495293
0.498,0.2513706687457319
0.501,0.2537104980797294
0.504,0.2560593543522242
0.507,0.25841795188623684
0.51,0.2607845702310282
0.513,0.26315807455017853
0.516,0.2655393245704607
0.519,0.2679293488048291
0.522,0.27032801979218035
0.525,0.27273528494191834
0.528,0.2751511859073314
0.531,0.2775757763680955
0.534,0.2800067493135453
0.537,0.2824445818376227
0.54,0.28488971357749704
0.543,0.287343238091759
0.546,0.2898051275551078
0.549,0.29227531992809913
0.552,0.2947550948116761
0.555,0.2972420065789071
0.558,0.2997362994007368
0.561,0.3022399811315394
0.5640000000000001,0.304752501284584
0.5670000000000001,0.30727397872760054
0.5700000000000001,0.30980342504925346
0.5730000000000001,0.31234208846636263
0.5760000000000001,0.31488791902039354
0.579,0.31744027836845407
0.582,0.320001725396227
0.585,0.3225689346241949
0.588,0.3251427793463241
0.591,0.32772401881461455
0.594,0.33031182825137656
0.597,0.33290645090266285
0.6,0.33550854821402054
0.603,0.3381176576002509
0.606,0.34073367898214024
0.609,0.3433581168430414
0.612,0.3459907308957116
0.615,0.34863077424723204
0.618,0.35127812187195157
0.621,0.35393320203316136
0.624,0.3565956934826529
0.627,0.35926541953892954
0.63,0.36194296127075926
0.633,0.36462691030383376
0.636,0.3673159775048516
0.639,0.37001252237975163
0.642,0.37271707462028486
0.645,0.3754288766174801
0.648,0.37815073908550556
0.651,0.380881211119599
0.654,0.3836206783387987
0.657,0.3863689173997025
0.66,0.38912492720117464
0.663,0.3918898094224826
0.666,0.39466243326583234
0.669,0.3974450863784077
0.672,0.400233655683525
0.675,0.403031438148704
0.678,0.4058368456689282
0.681,0.4086508195960142
0.684,0.4114719725291935
0.687,0.41430185685060705
0.6900000000000001,0.41714087620149815
0.6930000000000001,0.41998727734472036
0.6960000000000001,0.42284083862989646
0.6990000000000001,0.425699788315931
0.7020000000000001,0.42856707630410346
0.705,0.431443356558611
0.708,0.4343268459153398
0.711,0.4372175854808632
0.714,0.44011537666129275
0.717,0.44302106062560237
0.72,0.44593343985919687
0.723,0.4488506716848673
0.726,0.4517762773162482
0.729,0.4547112766238512
0.732,0.4576533036834917
0.735,0.46060394583758496
0.738,0.46356177756674544
0.741,0.46652704344556195
0.744,0.46950157268929577
0.747,0.47248628215467114
0.75,0.4754783254602895
0.753,0.47847950953978613
0.756,0.48148898234300896
0.759,0.484506640654184
0.762,0.4875345806489559
0.765,0.4905707894309299
0.768,0.4936156799100229
0.771,0.49666864928524934
0.774,0.4997306475650087
0.777,0.5028002917874245
0.78,0.5058766735152572
0.783,0.5089626141406208
0.786,0.5120569190201951
0.789,0.5151572629342372
0.792,0.5182645926044114
0.795,0.5213786111571951
0.798,0.5245025428563116
0.801,0.5276328731394344
0.804,0.5307711979442852
0.807,0.5339160524020513
0.81,0.5370670615553491
0.8130000000000001,0.5402280284619084
0.8160000000000001,0.5433939036548906
0.8190000000000001,0.5465667477769052
0.8220000000000001,0.5497457419021727
0.8250000000000001,0.5529321792806255
0.8280000000000001,0.5561227448490254
0.8310000000000001,0.5593207798653409
0.834,0.5625261894676415
0.837,0.5657387298725891
0.84,0.5689562874870642
0.843,0.5721780287722709
0.846,0.5754059199190886
0.849,0.5786404480915102
0.852,0.5818801462680444
0.855,0.5851265901152537
0.858,0.5883783647790529
0.861,0.5916359554622368
0.864,0.5948990813119004
0.867,0.5981675329779764
0.87,0.6014428045823413
0.873,0.6047256078109259
0.876,0.6080154480119138
0.879,0.6113099667166886
0.882,0.6146095211075994
0.885,0.617916354439213
0.888,0.6212289207868039
0.891,0.6245461621381928
0.894,0.6278707528687858
0.897,0.631199880876238
0.9,0.6345342544330455
0.903,0.6378748562249125
0.906,0.6412220267200841
0.909,0.6445751838379004
0.912,0.6479366319023424
0.915,0.6513049542837268
0.918,0.6546771155060476
0.921,0.6580561772434356
0.924,0.6614413199384075
0.927,0.6648362551924538
0.93,0.6682392466644108
0.933,0.6716513137595299
0.936,0.6750692867840952
0.9390000000000001,0.6784964658099304
0.9420000000000001,0.6819313430065529
0.9450000000000001,0.6853736606822411
0.9480000000000001,0.6888201170271359
0.9510000000000001,0.6922718208506163
0.9540000000000001,0.6957314830403942
0.9570000000000001,0.6991957410877837
0.96,0.7026642475613624
0.963,0.706138457722513
0.966,0.7096210853784611
0.969,0.7131098898160958
0.972,0.7166035192623205
0.975,0.7201045853703731
0.978,0.723611432856288
0.981,0.7271235028808767
0.984,0.7306425811820929
0.987,0.7341683918488017
0.99,0.7376991222361167
0.993,0.7412361352745149
0.996,0.7447815323809156
0.999,0.7483330673796795
1.002,0.7518894964398462
1.0050000000000001,0.7554496839862124
1.008,0.7590151291624966
1.0110000000000001,0.76258693400868
1.014,0.7661653766174589
1.0170000000000001,0.7697483551150531
1.02,0.7733376029133482
1.0230000000000001,0.7769315720103699
1.026,0.7805287488236653
1.029,0.7841277366017185
1.032,0.7877315701055688
1.035,0.7913405674736432
1.038,0.7949530200496822
1.041,0.7985653055549231
1.044,0.8021821544521032
1.047,0.8058025863835039
1.05,0.8094253987461679
1.053,0.8130522069010411
1.056,0.8166819969550142
1.059,0.8203169457692302
1.062,0.8239550069224827
1.065,0.8275936380217669
1.068,0.8312324472100319
1.071,0.8348744207987998
1.074,0.8385194498215026
1.077,0.8421672253153017
1.08,0.8458163554955234
1.083,0.849468480713687
1.086,0.8531277452080022
1.089,0.8567934690694659
1.092,0.8604627661210077
1.095,0.8641360462133644
1.098,0.8678132682284924
1.101,0.8714952608166283
1.104,0.8751816844493964
1.107,0.8788766793467372
1.11,0.8825762809264734
1.113,0.8862784595363621
1.116,0.8899865873504059
1.119,0.893701112625091
1.122,0.8974199497383831
1.125,0.9011455459742357
1.1280000000000001,0.9048745482526787
1.131,0.9086091929787877
1.1340000000000001,0.9123479560173343
1.137,0.9160910919456167
1.1400000000000001,0.9198414600438345
1.143,0.9235934338563814
1.1460000000000001,0.9273500319519431
1.149,0.9311111919710223
1.1520000000000001,0.9348765258458056
1.155,0.9386449761488178
1.158,0.942419235213274
1.161,0.9461988012992144
1.164,0.9499813575577659
1.167,0.9537644964772377
1.17,0.9575534763075048
1.173,0.9613476434422566
1.176,0.9651457555093739
1.179,0.9689491590962624
1.182,0.9727558359255284
1.185,0.9765675624724017
1.188,0.980384865273112
1.191,0.9842084086676798
1.194,0.9880367516495688
1.197,0.991868745896774
1.2,0.9957068355755215
1.203,0.9995483137233213
1.206,1.0033906280213911
1.209,1.0072358475923175
1.212,1.0110839704093535
1.215,1.0149355640276567
1.218,1.0187924598221163
1.221,1.022658858911794
1.224,1.0265300780816045
1.227,1.0304076006455838
1.23,1.0342925769779678
1.233,1.0381785900116485
1.236,1.0420712103838459
1.239,1.0459676615146407
1.242,1.0498678230071812
1.245,1.0537732380381415
1.248,1.057685400765311
1.2510000000000001,1.061609524665005
1.254,1.0655360049312643
1.2570000000000001,1.0694677225392826
1.26,1.0734036614301161
1.2630000000000001,1.0773474434824268
1.266,1.0812972689531144
1.2690000000000001,1.0852522827324895
1.272,1.089211367851103
1.2750000000000001,1.0931771340115422
1.278,1.0971513382413598
1.281,1.1011344175128328
1.284,1.1051245495238153
1.287,1.1091218392732898
1.29,1.1131237679653025
1.293,1.1171350879312492
1.296,1.1211524645257256
1.299,1.1251762707829733
1.302,1.129209523934696
1.305,1.1332502259711126
1.308,1.1372966294873381
1.311,1.1413481045604978
1.314,1.1454041893482243
1.317,1.1494678412517458
1.32,1.1535380398398931
1.323,1.1576139560960843
1.326,1.1616926917994983
1.329,1.1657737180024452
1.332,1.169861295041889
1.335,1.1739550815596516
1.338,1.1780575472572246
1.341,1.1821685684135874
1.344,1.1862855347488495
1.347,1.1904075926853819
1.35,1.1945332858418252
1.353,1.198665923959
1.356,1.2028043197268607
1.359,1.206945174729596
1.362,1.2110942509888334
1.365,1.215246913146791
1.368,1.2194032901051424
1.371,1.2235650153742148
1.374,1.2277319308260748
1.377,1.2319054361398507
1.3800000000000001,1.2360802088501068
1.383,1.240259297611996
1.3860000000000001,1.2444416660960151
1.389,1.248627976609779
1.3920000000000001,1.2528171787181772
1.395,1.2570115883640656
1.3980000000000001,1.2612119312063608
1.401,1.2654159745258153
1.4040000000000001,1.2696220750926113
1.407,1.2738330976608152
1.41,1.2780462828510175
1.413,1.2822659441871542
1.416,1.2864896536604753
1.419,1.2907190676128881
1.422,1.294952368827847
1.425,1.2991911739940536
1.428,1.3034347508336317
1.431,1.3076838898852086
1.434,1.311936333442653
1.437,1.3161960679249607
1.44,1.320460205972366
1.443,1.324732522134534
1.446,1.3290097222527832
1.449,1.3332906762664825
1.452,1.337579303834592
1.455,1.341872983521819
1.458,1.3461723796988159
1.461,1.3504760472030823
1.464,1.354789412237036
1.467,1.3591083437382483
1.47,1.3634351997885643
1.473,1.3677722383257256
1.476,1.372117566876271
1.479,1.3764680826470395
1.482,1.3808280406460856
1.485,1.3851921506968587
1.488,1.3895624177048658
1.491,1.3939407396245138
1.494,1.398322627420985
1.497,1.40271084777883
1.5,1.4071044207234176
1.5030000000000001,1.4115039161424217
1.506,1.4159059673284016
1.5090000000000001,1.4203118331273599
1.512,1.4247200433679574
1.5150000000000001,1.4291269222286547
1.518,1.4335437660796277
1.5210000000000001,1.43796664031642
1.524,1.442391744813634
1.5270000000000001,1.446822871986517
1.53,1.4512587749085721
1.5330000000000001,1.455696865590899
1.536,1.4601358021497575
1.539,1.464581080196497
1.542,1.4690313075907857
1.545,1.473485356850932
1.548,1.4779369081198672
1.551,1.4823955595563743
1.554,1.4868591769489157
1.557,1.4913243123530595
1.56,1.4957979641046792
1.563,1.5002783364409336
1.566,1.5047644699358962
1.569,1.5092510731991506
1.572,1.5137385875464002
1.575,1.5182280490168782
1.578,1.522722509322794
1.581,1.5272183924917617
1.584,1.531716909591998
1.587,1.5362184912459493
1.59,1.5407247211015043
1.593,1.5452365281416913
1.596,1.5497509121757558
1.599,1.55427167867681
1.602,1.5587949564706547
1.605,1.5633243383039928
1.608,1.5678583703841287
1.611,1.5723980296175906
1.614,1.5769479716070705
1.617,1.5815025197654426
1.62,1.5860597527290343
1.623,1.5906189267839064
1.6260000000000001,1.5951797156883616
1.629,1.599744862217409
1.6320000000000001,1.6043115549433353
1.635,1.6088826437292392
1.6380000000000001,1.6134555593457343
1.641,1.618031452036683
1.6440000000000001,1.6226155146405101
1.647,1.627203061211269
1.6500000000000001,1.6317955942388978
1.653,1.6363919759319123
1.6560000000000001,1.6409915472666319
1.659,1.645590818566424
1.6620000000000001,1.6501928913896229
1.665,1.6547967067195128
1.668,1.65940485613853
1.671,1.6640136657486115
1.674,1.6686269857434792
1.677,1.6732478648075164
1.68,1.67787277681263
1.683,1.68249756110637
1.686,1.687126726219783
1.689,1.691760923712939
1.692,1.6963990830611104
1.695,1.7010433446657043
1.698,1.7056906279440478
1.701,1.7103446378645686
1.704,1.7150021015471402
1.707,1.7196630897069913
1.71,1.724329149509518
1.713,1.7290016787606326
1.716,1.7336763864399594
1.719,1.738354196470981
1.722,1.7430400841642497
1.725,1.7477287041898588
1.728,1.7524213069800458
1.731,1.757118434379914
1.734,1.7618180643952124
1.737,1.7665166872613467
1.74,1.7712097764676238
1.743,1.7759063831077309
1.746,1.7806072673168205
1.749,1.7853123277329337
1.752,1.7900217770167612
1.7550000000000001,1.794735481308441
1.758,1.7994593490043858
1.7610000000000001,1.8041897349356784
1.764,1.8089224151502434
1.7670000000000001,1.8136559634341247
1.77,1.8183910551119022
1.7730000000000001,1.823128609577445
1.776,1.8278651408915447
1.7790000000000001,1.8326108850777258
1.782,1.8373567090868086
1.7850000000000001,1.8421093820005712
1.788,1.8468649859205724
1.7910000000000001,1.8516254694499883
1.794,1.8563873555393244
1.797,1.8611538065836681
1.8,1.8659214902267796
1.803,1.870699080861625
1.806,1.8754867808391484
1.809,1.8802768698074361
1.812,1.8850715779973797
1.815,1.8898696626734932
1.818,1.8946719097758642
1.821,1.8994765471612742
1.824,1.904287979722276
1.827,1.9090990048078844
1.83,1.9139121725106427
1.833,1.9187250205733886
1.836,1.9235387261791854
1.839,1.928354777637962
1.842,1.9331767869083685
1.845,1.9379969825013856
1.848,1.942828667190395
1.851,1.9476589231327417
1.854,1.9524925316030808
1.857,1.9573229308247235
1.86,1.9621494493597134
1.863,1.9669788981237004
1.866,1.9718182154037052
1.869,1.9766628036992298
1.872,1.981508917009076
1.875,1.986361503927228
1.8780000000000001,1.9912157571113716
1.881,1.9960783030671074
1.8840000000000001,2.0009437339147755
1.887,2.005813323093008
1.8900000000000001,2.0106851342988605
1.893,2.0155595256707164
1.8960000000000001,2.020439806303421
1.899,2.0253243097783917
1.9020000000000001,2.0302119982801363
1.905,2.0351012595669116
1.9080000000000001,2.039993800303648
1.911,2.044885707197208
1.9140000000000001,2.0497800728156257
1.917,2.0546766318806777
1.92,2.0595774754592897
1.923,2.0644840062198404
1.926,2.0693923371115157
1.929,2.0743033276451217
1.932,2.0792168515383884
1.935,2.08413253550184
1.938,2.0890525572352825
1.941,2.093974687485459
1.944,2.098905604614496
1.947,2.1038389670077637
1.95,2.1087786782173525
1.953,2.113725529150925
1.956,2.118676743256267
1.959,2.1236366551687644
1.962,2.128598785640066
1.965,2.133567858778172
1.968,2.1385404832413806
1.971,2.1435165998693124
1.974,2.148496040714571
1.977,2.1534845539468463
1.98,2.1584747508081117
1.983,2.1634671447930907
1.986,2.1684622820337442
1.989,2.173465563646166
1.992,2.1784656258821307
1.995,2.1834642369216786
1.998,2.188463422877184
2.001,2.1934673680761647
2.004,2.1984714998836035
2.007,2.203475547047594
2.0100000000000002,2.20848207678954
2.013,2.213483099518924
2.016,2.218486113368815
2.019,2.223491811567265
2.0220000000000002,2.2285016381422693
2.025,2.233518481436168
2.028,2.238532713230744
2.031,2.2435473985943726
2.0340000000000003,2.2485690913869063
2.037,2.2535883959538183
2.04,2.25861522523134
2.043,2.2636408663645526
2.0460000000000003,2.268673577188409
2.049,2.2737138212258383
2.052,2.278753792045959
2.055,2.283800523294041
2.058,2.288847439890806
2.061,2.2939012366832876
2.064,2.298957554012757
2.067,2.3040130997941275
2.07,2.309074218225307
2.073,2.3141364614046225
2.076,2.319196447618504
2.079,2.3242620986255034
2.082,2.3293396241275968
2.085,2.334420562971033
2.088,2.3395068828932812
2.091,2.344595959928647
2.094,2.3496855307486726
2.097,2.3547751733882296
2.1,2.3598654030754287
2.103,2.364954692846532
2.106,2.3700521352614863
2.109,2.375153672198811
2.112,2.3802596240949354
2.115,2.3853675440887017
2.118,2.390470690375483
2.121,2.395575898168987
2.124,2.4006811606203127
2.1270000000000002,2.405792379119272
2.13,2.41091015222359
2.133,2.4160320166762665
2.136,2.4211631029823475
2.1390000000000002,2.4263042656845184
2.142,2.4314583801856084
2.145,2.436615850283708
2.148,2.441775952462699
2.1510000000000002,2.446939746141119
2.154,2.4521096192377128
2.157,2.4572932954386326
2.16,2.4624815542357474
2.1630000000000003,2.4676672026559565
2.166,2.4728572449479027
2.169,2.4780514497240005
2.172,2.4832462335416365
2.1750000000000003,2.488445950143139
2.178,2.493650706394335
2.181,2.4988540278367806
2.184,2.5040669519875665
2.187,2.50928728858362
2.19,2.5145120072566587
2.193,2.5197418800556646
2.196,2.5249801284168987
2.199,2.5302230412677535
2.202,2.535465791027989
2.205,2.5407172008121464
2.208,2.5459654311845674
2.211,2.551223279260616
2.214,2.556491114804323
2.217,2.561765889062433
2.22,2.567043287234838
2.223,2.572316943153358
2.226,2.577591175502785
2.229,2.5828663448587044
2.232,2.588145563389758
2.235,2.5934286825210724
2.238,2.598720338929907
2.241,2.6040131936688544
2.244,2.6093091492314633
2.247,2.614608006303786
2.25,2.6199093891294534
2.253,2.625213786920866
2.2560000000000002,2.6305280480821316
2.259,2.635846712850113
2.262,2.6411646840138294
2.265,2.646482577573623
2.2680000000000002,2.6518058920887744
2.271,2.657137304584324
2.274,2.662474844293692
2.277,2.667817018131178
2.2800000000000002,2.673160124632763
2.283,2.678511071453356
2.286,2.6838667679971517
2.289,2.6892283240999544
2.2920000000000003,2.6945967545113416
2.295,2.6999782666433276
2.298,2.7053578970189593
2.301,2.7107386366316715
2.3040000000000003,2.7161160212970885
2.307,2.7214945741672363
2.31,2.726874698263696
2.313,2.7322582647318736
2.316,2.737641175547978
2.319,2.7430301148821457
2.322,2.7484188148264264
2.325,2.753809418613667
2.328,2.7591979799816992
2.331,2.76459564869198
2.334,2.769996119628038
2.337,2.775396154103589
2.34,2.780795995072481
2.343,2.7862066580653235
2.346,2.7916203692796433
2.349,2.7970338174605223
2.352,2.802445939586622
2.355,2.8078612121924817
2.358,2.8132788199675143
2.361,2.818700751068631
2.364,2.824128434809608
2.367,2.829560711353528
2.37,2.834988587761902
2.373,2.840412133033048
2.376,2.8458305890972007
2.379,2.851252817480835
2.382,2.856671191468775
2.3850000000000002,2.862092315586275
2.388,2.8675195972005434
2.391,2.8729517806977563
2.394,2.87838184807527
2.3970000000000002,2.883815242299269
2.4,2.8892510856620004
